DEPT          TVD           GR      TAB_DEN      TAB_RES         ROP5         DCAV         CRPM         A34H         P16H         P28H         P34H         TNPH          PEF         DRHO         RHOB 
       4703.70000   4601.14138     72.92699      0.00000      0.00000     34.55121      8.25254     49.32491     34.72835      0.10000      0.10000      0.10000      4.59485    795.83360     -0.96582      2.31664
       4703.80000   4601.23125     73.18140      0.00000      0.00000     34.66941      8.24282     49.35944    165.89630      0.10000      0.10000      0.10000      4.60938    805.34720     -0.98220      2.28650
       4703.90000   4601.32112     73.81232      0.00000      0.00000     34.70836      8.13650     49.39398    200.00000      0.10000      0.10000      0.10000      4.57100    799.62770     -0.96247      2.30422
       4704.00000   4601.41098     74.96021      0.00000      0.00000     34.75920      8.01293     49.42851    200.00000      0.10000      0.10000      0.10000      4.51903    789.69060     -0.93404      2.33534
       4704.10000   4601.50085     77.50423      0.00000      0.00000     34.95423      7.94989     49.46305    200.00000      0.10000      0.10000      0.10000      4.48515    783.87150     -0.92010      2.35409
       4704.20000   4601.59072     80.04827      0.00000      0.00000     34.93521      7.86025     49.49758    200.00000      0.10000      0.10000      0.10000      4.50509    774.18930     -0.90206      2.38616
       4704.30000   4601.68059     82.25040      0.00000      0.00000     34.81562      7.78902     49.53212    177.96380      0.10000      0.10000      0.10000      4.55946    764.85520     -0.89246      2.41725
       4704.40000   4601.77045     82.75919      0.00000      0.00000     34.66977      7.86758     49.56665     46.79580      0.10000      0.10000      0.10000      4.66574    765.76000     -0.93376      2.41417
       4704.50000   4601.86032     82.61266      0.00000      0.00000     34.65657      7.94615     49.60119      0.10000      0.10000      0.12299      1.37594      4.82791    769.63310     -0.95187      2.40115
       4704.60000   4601.95019     81.98174      0.00000      0.00000     34.73228      8.02471     49.63572      0.10000      0.10000     78.88239     81.61398      5.01187    774.37740     -0.95731      2.38521
       4704.70000   4602.04006     80.45531      0.00000      0.00000     34.92205      8.10328     49.67026      0.10000      0.10000    734.94900    735.73510      5.12891    773.47990     -0.96395      2.38820
       4704.80000   4602.12993     78.92889      0.00000      0.00000     34.71681      8.18185     49.70479     78.27612      0.10000    608.96300    609.12590      5.06301    772.58220     -0.97058      2.39119
       4704.90000   4602.21979     77.49405      0.00000      0.00000     34.24943      8.26041     49.73933    200.00000      0.10000      0.10000      0.49698      4.86887    771.02480     -0.97535      2.39661
       4705.00000   4602.30966     77.23965      0.00000      0.00000     33.85448      8.33898     49.77386    200.00000      0.10000      0.10000      0.22358      4.62000    760.96350     -0.95615      2.43318
       4705.10000   4602.39953     77.82172      0.00000      0.00000     33.83927      8.41754     49.80840    200.00000      0.10000      0.10000      0.10000      4.39623    750.90230     -0.93695      2.46975
       4705.20000   4602.48940     79.05100      0.00000      0.00000     34.12696      8.49611     49.84293    200.00000      0.10000      0.16678      0.18507      4.19846    740.84100     -0.91775      2.50632
       4705.30000   4602.57927     78.54219      0.00000      0.00000     33.99606      8.57467     49.87747    200.00000      0.10000      2.94910      3.72986      4.21600    730.77970     -0.89855      2.54289
       4705.40000   4602.66913     78.03339      0.00000      0.00000     33.93970      8.65324     49.91200    134.41600      0.10000      2.94910      3.72986      4.28212    720.71840     -0.87935      2.57946
       4705.50000   4602.75900     77.52458      0.00000      0.00000     33.95788      8.73180     49.94654      3.24803      0.10000      0.16678      0.18507      4.39683    710.65720     -0.86014      2.61603
       4705.60000   4602.84887     78.50556      0.00000      0.00000     33.75274      8.81037     49.98108    128.11990      0.10000      0.10000      0.10000      4.53924    759.10530     -0.93268      2.44551
       4705.70000   4602.93874     78.60326      0.00000      0.00000     33.86537      8.88893     50.03122    200.00000      0.10000      0.10000      0.10000      4.70269    793.55830     -0.99425      2.33024
       4705.80000   4603.02861     77.58563      0.00000      0.00000     34.36993      8.96750     50.10029    200.00000      0.10000      0.10000      0.10000      4.89083    809.29940     -1.03979      2.28812
       4705.90000   4603.11848     77.98454      0.00000      0.00000     34.15604     10.16383     50.16936     78.27612      0.10000      0.10000      0.10000      5.15436    813.20120     -1.02177      2.25835
       4706.00000   4603.20834     78.49335      0.00000      0.00000     34.09626     10.86324     50.23843      0.10000      0.11357      0.10000      0.10000      5.39207    814.90410     -0.99135      2.24381
       4706.10000   4603.29821     79.00216      0.00000      0.00000     34.34607     10.70164     50.30750      0.10000      0.14716      0.10000      0.10000      5.58306    814.71830     -0.94990      2.25032
       4706.20000   4603.38808     79.28709      0.00000      0.00000     34.12378     11.32385     50.37657      0.10000      0.15119      0.10000      0.10000      5.57235    810.99880     -0.92505      2.27997
       4706.30000   4603.47795     79.72264      0.00000      0.00000     34.13627     11.60074     50.44564     46.79580      0.13923      0.19936    233.67240      5.50546    809.83550     -0.92100      2.29315
       4706.40000   4603.56782     80.48585      0.00000      0.00000     34.68996     11.05960     50.51471    177.96380      0.10564      0.47844    889.77480      5.38672    814.16790     -0.95052      2.27083
       4706.50000   4603.65769     81.46072      0.00000      0.00000     34.74203     10.94488     50.58378    200.00000      0.10000      3.31937   1000.00000      5.21249    837.40720     -1.02228      2.23544
       4706.60000   4603.74756     82.47834      0.00000      0.00000     34.54756     10.89333     50.65285    200.00000      0.10000      4.52297    797.92940      5.11720    850.19810     -1.05705      2.20255
       4706.70000   4603.83742     83.49595      0.00000      0.00000     34.02675     10.79025     50.72192    200.00000      0.10000      0.88566    141.85620      5.22448    830.93630     -0.98954      2.18123
       4706.80000   4603.92729     84.11465      0.00000      0.00000     34.55815     10.45300     50.79099    200.00000      0.10000      0.10000      0.14433      5.24675    809.07190     -0.98782      2.24901
       4706.90000   4604.01716     84.35889      0.00000      0.00000     34.98655     10.03248     50.86006    165.89630      0.10000      0.10000      0.24828      5.26816    788.53210     -0.97967      2.33869
       4707.00000   4604.10703     83.85007      0.00000      0.00000     34.29670      9.55862     50.92913     34.72835      0.10000      0.10000      0.64807      5.35378    773.80330     -0.90160      2.42082
